,BUS,REAL_POWER_SETPOINT_MW,REACTIVE_POWER_SETPOINT_MVAR,MAX_REACTIVE_POWER_DISPATCH_MVAR,MIN_REACTIVE_POWER_DISPATCH_MVAR,VOLTAGE_MAGNITUDE_SETPOINT,MVA_BASE,UNIT_STATUS,MAX_REAL_POWER_OUTPUT_MW,MIN_REAL_POWER_OUTPUT_MW,RAMP_RATE_AGC_MWPERMIN,RAMP_RATE_10_MWPERMIN,RAMP_RATE_30_MWPERMIN,RAMP_RATE_REACTIVEPOWER_MVARPERMIN,AREA_PARTICIPATION_FACTOR,GEN_NAME,GEN_TYPE,FUEL_TYPE,TIMESERIES_PARAMETERS,Unit,GEN_ID,Fuel,MinDown,MinUp,HotStart,ColdStart,WarmStart,RampRate,Outage,MTTF,MTTR,ScheduledMaintenance,MinGen
134,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,134,,,,,,,,,,,,
135,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,135,,,,,,,,,,,,
136,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,136,,,,,,,,,,,,
137,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,137,,,,,,,,,,,,
138,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,138,,,,,,,,,,,,
139,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,139,,,,,,,,,,,,
140,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,140,,,,,,,,,,,,
141,314,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,141,,,,,,,,,,,,
142,314,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,142,,,,,,,,,,,,
143,314,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,143,,,,,,,,,,,,
144,314,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,144,,,,,,,,,,,,
145,317,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_wind.csv,0,,,,,,,,,,UWIND,145,,,,,,,,,,,,
146,319,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,146,,,,,,,,,,,,
147,320,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,147,,,,,,,,,,,,
148,320,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,148,,,,,,,,,,,,
149,320,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,149,,,,,,,,,,,,
150,320,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,150,,,,,,,,,,,,
151,320,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,151,,,,,,,,,,,,
152,320,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,152,,,,,,,,,,,,
153,320,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,153,,,,,,,,,,,,
154,324,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,154,,,,,,,,,,,,
155,324,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,155,,,,,,,,,,,,
156,324,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,156,,,,,,,,,,,,
