Simulation,Category,Object,Parameter,Scaling Factor,Data File
REAL_TIME,Generator,213_RTPV_1,PMax MW,13.2,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,309_WIND_1,PMax MW,148.3,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,Generator,317_WIND_1,PMax MW,799.1,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,Generator,303_WIND_1,PMax MW,847,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,Generator,122_WIND_1,PMax MW,713.5,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,Generator,122_HYDRO_1,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,122_HYDRO_2,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,122_HYDRO_3,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,122_HYDRO_4,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,122_HYDRO_5,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,122_HYDRO_6,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,201_HYDRO_4,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,215_HYDRO_1,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,215_HYDRO_2,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,215_HYDRO_3,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_1,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_2,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_3,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_4,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_5,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_6,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,322_HYDRO_1,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,322_HYDRO_2,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,322_HYDRO_3,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,322_HYDRO_4,PMin MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,308_RTPV_1,PMin MW,100.9,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_1,PMin MW,101.7,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_2,PMin MW,63.1,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_3,PMin MW,65.4,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_4,PMin MW,67,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_5,PMin MW,64.8,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_6,PMin MW,63.8,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_7,PMin MW,64.1,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_8,PMin MW,66.6,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_9,PMin MW,62.4,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_10,PMin MW,66.9,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_11,PMin MW,65.2,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_12,PMin MW,27.8,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_1,PMin MW,27.3,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_2,PMin MW,27,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_3,PMin MW,28.3,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_13,PMin MW,27.2,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_4,PMin MW,27,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_5,PMin MW,28.2,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_1,PMin MW,9.3,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_2,PMin MW,9.7,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_3,PMin MW,9.4,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_4,PMin MW,9.1,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_5,PMin MW,9.1,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_6,PMin MW,9.7,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_6,PMin MW,9.4,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_7,PMin MW,11.8,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_8,PMin MW,11.2,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_9,PMin MW,10.3,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_10,PMin MW,4.5,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,213_RTPV_1,PMin MW,13.2,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Reserve,Reg_Down,Requirement,1,../timeseries_data_files/Reserves/REAL_TIME_regional_Reg_Down.csv
REAL_TIME,Reserve,Reg_Up,Requirement,1,../timeseries_data_files/Reserves/REAL_TIME_regional_Reg_Up.csv
REAL_TIME,Reserve,Spin_Up_R1,Requirement,1,../timeseries_data_files/Reserves/REAL_TIME_regional_Spin_Up_R1.csv
REAL_TIME,Reserve,Spin_Up_R2,Requirement,1,../timeseries_data_files/Reserves/REAL_TIME_regional_Spin_Up_R2.csv
REAL_TIME,Reserve,Spin_Up_R3,Requirement,1,../timeseries_data_files/Reserves/REAL_TIME_regional_Spin_Up_R3.csv
REAL_TIME,Area,1,MW Load,2850,../timeseries_data_files/Load/REAL_TIME_regional_load.csv
REAL_TIME,Area,2,MW Load,2850,../timeseries_data_files/Load/REAL_TIME_regional_load.csv
REAL_TIME,Area,3,MW Load,2850,../timeseries_data_files/Load/REAL_TIME_regional_load.csv
